DateTime,Sender,Message
13/09/22 17.13,System,"Pesan dan panggilan dienkripsi secara end-to-end. Tidak seorang pun di luar chat ini, termasuk WhatsApp, yang dapat membaca atau mendengarkannya. Ketuk untuk info selengkapnya."
13/09/22 16.49,System,"‎~ rabbialazizah membuat grup ""MENTORING FKI 2022 """
13/09/22 17.13,System,Anda Bergabung Menggunakan Tautan Undangan Grup Ini
13/09/22 17.13,System,‎awe infor bergabung menggunakan tautan undangan grup ini
13/09/22 17.13,System,‎+62 881-0242-75516 bergabung menggunakan tautan undangan grup ini
13/09/22 17.13,System,‎+62 813-2996-4285 bergabung menggunakan tautan undangan grup ini
13/09/22 17.13,System,‎+62 812-2557-9011 bergabung menggunakan tautan undangan grup ini
13/09/22 17.13,System,‎+62 895-3933-55257 bergabung menggunakan tautan undangan grup ini
13/09/22 17.13,System,‎+62 813-9267-7939 bergabung menggunakan tautan undangan grup ini
13/09/22 17.13,System,‎+62 821-4300-7827 bergabung menggunakan tautan undangan grup ini
13/09/22 17.13,System,‎+62 822-2967-2294 bergabung menggunakan tautan undangan grup ini
13/09/22 17.13,System,‎+62 838-2173-5812 bergabung menggunakan tautan undangan grup ini
13/09/22 17.14,System,‎+62 899-3998-600 bergabung menggunakan tautan undangan grup ini
13/09/22 17.14,System,‎+62 898-5315-259 bergabung menggunakan tautan undangan grup ini
13/09/22 17.14,System,‎joselyn infor bergabung menggunakan tautan undangan grup ini
13/09/22 17.14,System,‎sofi infor bergabung menggunakan tautan undangan grup ini
13/09/22 17.14,System,‎+62 822-3700-4148 bergabung menggunakan tautan undangan grup ini
13/09/22 17.14,System,‎+62 895-3607-52452 bergabung menggunakan tautan undangan grup ini
13/09/22 17.14,System,‎+62 899-8878-210 bergabung menggunakan tautan undangan grup ini
13/09/22 17.14,System,‎+62 822-4385-0113 bergabung menggunakan tautan undangan grup ini
13/09/22 17.15,System,‎mbak nisa asleb prak asd bergabung menggunakan tautan undangan grup ini
13/09/22 17.15,System,‎+62 815-4822-8138 bergabung menggunakan tautan undangan grup ini
13/09/22 17.15,System,‎+62 882-2797-1866 bergabung menggunakan tautan undangan grup ini
13/09/22 17.15,System,‎+62 852-8129-9662 bergabung menggunakan tautan undangan grup ini
13/09/22 17.15,System,‎+62 856-5945-6258 bergabung menggunakan tautan undangan grup ini
13/09/22 17.15,System,‎+62 821-6860-2337 bergabung menggunakan tautan undangan grup ini
13/09/22 17.15,System,‎+62 812-3752-5277 bergabung menggunakan tautan undangan grup ini
13/09/22 17.15,System,‎+62 858-0374-8374 bergabung menggunakan tautan undangan grup ini
13/09/22 17.15,System,‎+62 813-2373-1184 bergabung menggunakan tautan undangan grup ini
13/09/22 17.15,System,‎+62 813-2961-9708 bergabung menggunakan tautan undangan grup ini
13/09/22 17.15,System,‎+62 812-2846-8315 bergabung menggunakan tautan undangan grup ini
13/09/22 17.16,System,‎+62 895-1655-6760 bergabung menggunakan tautan undangan grup ini
13/09/22 17.16,System,‎+62 895-6222-83803 bergabung menggunakan tautan undangan grup ini
13/09/22 17.16,System,‎+62 813-9220-5896 bergabung menggunakan tautan undangan grup ini
13/09/22 17.16,System,‎+62 878-0567-7210 bergabung menggunakan tautan undangan grup ini
13/09/22 17.16,System,‎+62 821-4466-4232 bergabung menggunakan tautan undangan grup ini
